recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.lang.reflect.Field","java.lang.reflect.Field.copy:155","none","false","5","120888"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Arrays$ArrayItr","java.util.Arrays$ArrayList.iterator:4224","none","false","4","78688"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Arrays$ArrayList","java.util.Arrays.asList:4122","none","false","10","264600"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Collections$UnmodifiableCollection$1","java.util.Collections$UnmodifiableCollection.iterator:1050","none","false","5","102048"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Collections$UnmodifiableMap","java.util.Collections.unmodifiableMap:1479","none","false","3","172536"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry","java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next:1711","none","false","11","388496"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.Collections$UnmodifiableRandomAccessList","java.util.Collections.unmodifiableList:1324","none","false","1","19344"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.HashMap","java.util.HashSet.<init>:107","none","false","2","34309256"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.HashMap$KeyIterator","java.util.HashMap$KeySet.iterator:983","none","false","1","600"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.LinkedHashMap$Entry","java.util.LinkedHashMap.newNode:257","none","false","4","240600"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.TreeMap","javax.management.openmbean.CompositeDataSupport.makeMap:136","none","false","22","721064"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.TreeMap$Entry","java.util.TreeMap.addEntry:765","none","false","45","1521640"
