"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","sampling","scala.runtime.DoubleRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","58","294461440"
"vectorProfile","allocation","sampling","scala.runtime.DoubleRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:177","2","25149664"
"vectorProfile","allocation","sampling","scala.runtime.DoubleRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:191","1","16625200"
"vectorProfile","allocation","sampling","scala.runtime.IntRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:166","1","2094520"
"vectorProfile","allocation","sampling","scala.runtime.ObjectRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:148","1","6287072"
"vectorProfile","allocation","sampling","scala.runtime.ObjectRef","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.quantile:116","3","29376720"
"vectorProfile","allocation","unknown","[Ljava.lang.management.MemoryUsage;","unknown","31","2295192"
"vectorProfile","allocation","unknown","java.lang.Class","unknown","1","2856"
"vectorProfile","allocation","unknown","java.lang.String","unknown","1","5744"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4898.apply","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4898.apply:-1","1","1"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:74","1","1"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:225","38","38"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:233","4","4"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:261","9","9"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.average","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.average:96","39","39"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:284","1","1"
"vectorProfile","execution","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.interrupted","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.interrupted:10","669","669"
