"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","ties","1024","4","radixSort","62","8.93499E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","4","scoresAndScatter","62","4.76599E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","4","mergeRank","62","0.0020404","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","5","radixRank","62","0.0013856","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","5","mergeRank","62","0.0019873","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","5","scoresAndScatter","62","4.617E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","5","radixSort","62","8.953E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","5","mergeSort","62","9.28999E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","5","summary","62","0.0137292","43500728","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","6","mergeSort","62","9.435E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","6","radixSort","62","8.82599E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","6","scoresAndScatter","62","4.69101E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","6","mergeRank","62","0.0020249","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","6","radixRank","62","0.0014034","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","6","summary","62","0.0134311","43500728","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ordered","1024","-5","mergeSort","62","5.788E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-5","summary","62","0.0233739","64416112","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","-5","radixRank","62","0.002899099","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
