target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-heldout,1001203695,20000,defensive,1,1.852934593929804,-0.00161574886394944,0.0020848692971406724,6154.331195579287,ChecksPassed,2.4926976686675607E-4,-0.9838974468087365,true,true,10000,531,false,10000,20000,0.0097523
gamma-heldout,1001211614,20000,defensive,0,2.133740751114534,-7.065968081021445E-4,0.0021097371646525216,6850.933727907805,ChecksPassed,2.507074535954987E-4,0.002975799071966201,true,true,10000,551,false,10000,20000,0.009915
gamma-heldout,1001211614,20000,defensive,1,1.8557478430856233,0.001197500291869824,0.0020682133596344365,6850.933727907805,ChecksPassed,2.507074535954987E-4,0.002975799071966201,true,true,10000,551,false,10000,20000,0.009915
gamma-heldout,1001219533,20000,defensive,0,2.138004651013213,0.003557303090576891,0.0021222148571516234,5751.801442507436,ChecksPassed,2.8001631813083847E-4,-0.8115814663782003,true,true,10000,541,false,10000,20000,0.0101604
gamma-heldout,1001219533,20000,defensive,1,1.851217003120964,-0.0033333396727894815,0.0020822667511169093,5751.801442507436,ChecksPassed,2.8001631813083847E-4,-0.8115814663782003,true,true,10000,541,false,10000,20000,0.0101604
gamma-heldout,1001227452,20000,defensive,0,2.136683689497509,0.0022363415748727355,0.00211465166382068,5735.9582151122895,ChecksPassed,2.8275470036639305E-4,-0.9171614628559637,true,true,10000,532,false,10000,20000,0.0103009
gamma-heldout,1001227452,20000,defensive,1,1.8534124418365143,-0.0011379009572392018,0.002064951047900263,5735.9582151122895,ChecksPassed,2.8275470036639305E-4,-0.9171614628559637,true,true,10000,532,false,10000,20000,0.0103009
gamma-heldout,1001235371,20000,defensive,0,2.1391054032301247,0.004658055307488418,0.0020841580169732423,6256.340467178742,ChecksPassed,2.478141561598115E-4,-0.9049834326130295,false,true,10000,532,false,10000,20000,0.0101355
gamma-heldout,1001235371,20000,defensive,1,1.8498416407938614,-0.004708701999892151,0.002066869595965196,6256.340467178742,ChecksPassed,2.478141561598115E-4,-0.9049834326130295,false,true,10000,532,false,10000,20000,0.0101355
gamma-heldout,1001243290,20000,defensive,0,2.132080525588454,-0.0023668223341823946,0.0021121151045851464,6855.930093280483,ChecksPassed,5.282060111370474E-4,0.1787569697763692,true,true,10000,534,false,10000,20000,0.0095541
gamma-heldout,1001243290,20000,defensive,1,1.8572905591484086,0.002740216354655045,0.0021737316406124267,6855.930093280483,ChecksPassed,5.282060111370474E-4,0.1787569697763692,true,true,10000,534,false,10000,20000,0.0095541
gamma-heldout,1001251209,20000,defensive,0,2.1373086333191957,0.0028612853965594987,0.0021232230427401045,6387.823613278699,ChecksPassed,2.4378672898196685E-4,-0.9312961666367611,true,true,10000,560,false,10000,20000,0.0099417
gamma-heldout,1001251209,20000,defensive,1,1.8518074345733762,-0.0027429082203773714,0.002049482499226227,6387.823613278699,ChecksPassed,2.4378672898196685E-4,-0.9312961666367611,true,true,10000,560,false,10000,20000,0.0099417
gamma-heldout,1001259128,20000,defensive,0,2.1357160807754814,0.0012687328528451225,0.0021032299201314687,6564.966015368171,ChecksPassed,4.0188140059893026E-4,0.09875120409737906,true,true,10000,544,false,10000,20000,0.0101608
gamma-heldout,1001259128,20000,defensive,1,1.8531896431006565,-0.001360699693097045,0.0021119023730363186,6564.966015368171,ChecksPassed,4.0188140059893026E-4,0.09875120409737906,true,true,10000,544,false,10000,20000,0.0101608
gamma-heldout,1001267047,20000,defensive,0,2.134399256263871,-4.809165876507038E-5,0.0020575647227540116,6687.730975535249,ChecksPassed,2.774699811188571E-4,0.011164480829447808,true,true,10000,536,false,10000,20000,0.0098381
gamma-heldout,1001267047,20000,defensive,1,1.8535902117785572,-9.601310151963194E-4,0.0021133324855833525,6687.730975535249,ChecksPassed,2.774699811188571E-4,0.011164480829447808,true,true,10000,536,false,10000,20000,0.0098381
gamma-heldout,1001274966,20000,defensive,0,2.13798856421069,0.0035412162880539277,0.0021144969985842014,6623.00055316747,ChecksPassed,2.2780303269393981E-4,-0.896162614528528,true,true,10000,539,false,10000,20000,0.0099956
