jvm,seed,model,method,draws,nanos,covered,precision,error
2,6,2,1,500,1270700,true,true,0.016648810577706175
2,6,3,0,31200,80899400,true,true,0.019997314923989262
2,6,3,1,500,2351100,true,true,0.016635924345446806
2,7,0,1,22000,52840700,true,true,0.019994589711548327
2,7,0,0,31200,3071800,true,true,0.019997314923989207
2,7,1,1,500,554600,true,true,0.01695286080233314
2,7,1,0,31200,2482300,true,true,0.019997314923989155
2,7,2,1,500,1444600,true,true,0.01664945128307993
2,7,2,0,31200,7252600,true,true,0.019997314923989207
2,7,3,1,500,2275900,true,true,0.016635932902862527
2,7,3,0,31200,71644900,true,true,0.019997314923989207
2,8,0,0,31200,3738900,true,true,0.019997314923989207
2,8,0,1,22100,56662600,true,true,0.019991666184780876
2,8,1,0,31200,2751400,true,true,0.019997314923989155
2,8,1,1,500,586100,true,true,0.01695286080233314
2,8,2,0,31200,7388500,true,true,0.019997314923989262
2,8,2,1,500,1291800,true,true,0.016648967558825722
2,8,3,0,31200,71679300,true,true,0.019997314923989207
2,8,3,1,500,2417300,true,true,0.016635930820200873
2,9,0,1,21700,62350000,true,true,0.019967213555354912
2,9,0,0,31200,3079400,true,true,0.019997314923989207
2,9,1,1,500,592400,true,true,0.017727727283136163
2,9,1,0,31200,2539100,true,true,0.019997314923989158
2,9,2,1,500,1923900,true,true,0.01664919161329448
2,9,2,0,31200,9770400,true,true,0.019997314923989207
2,9,3,1,500,2317400,true,true,0.016635934278393272
2,9,3,0,31200,72776700,true,true,0.019997314923989207
2,10,0,0,31200,4673300,true,true,0.019997314923989207
2,10,0,1,21800,82222400,true,true,0.01997320676497738
2,10,1,0,31200,3896500,true,true,0.019997314923989158
2,10,1,1,500,725600,true,true,0.01695286080233314
2,10,2,0,31200,11732100,true,true,0.019997314923989207
2,10,2,1,500,2090300,true,true,0.01664919275668958
2,10,3,0,31200,74370200,true,true,0.019997314923989262
2,10,3,1,500,2511500,true,true,0.01663593503772831
2,11,0,1,21600,62547900,true,true,0.019998663260863192
2,11,0,0,31200,3094600,true,true,0.019997314923989262
2,11,1,1,500,709900,true,true,0.01773502532090454
2,11,1,0,31200,2855700,true,true,0.019997314923989158
2,11,2,1,500,1279300,true,true,0.016648358188694812
2,11,2,0,31200,6933100,true,true,0.019997314923989207
2,11,3,1,500,2244100,true,true,0.016635927749212465
2,11,3,0,31200,71718100,true,true,0.019997314923989207
2,12,0,0,31200,2995600,true,true,0.019997314923989262
2,12,0,1,22100,52300600,true,true,0.01998938348429058
2,12,1,0,31200,2627500,true,true,0.019997314923989155
2,12,1,1,500,583500,true,true,0.0185078285816393
2,12,2,0,31200,7768400,true,true,0.019997314923989207
2,12,2,1,500,1305200,true,true,0.016649107098264393
2,12,3,0,31200,71659900,true,true,0.019997314923989262
2,12,3,1,500,2240500,true,true,0.01663593457578849
2,13,0,1,22000,63767900,true,true,0.019985706761631694
