case,method,seed,draws,mean,reference,ess,mcse,seconds
hierarchical,root,399689007,4000,0.9742471296066736,0.9803921568627451,2012.8888554223927,0.003196122091454888,0.0084001
hierarchical,joint,399689007,4000,0.9809085526556586,0.9803921568627451,3160.4966813426527,0.0020036067053177393,0.027293
nonlinear,prior,399689007,4000,0.4696447005569868,0.5,352.52816144447894,0.026539685838995106,0.0078218
nonlinear,root,399689007,4000,0.5081708422671559,0.5,1647.366040424601,0.012320214633986474,0.0100265
nonlinear,joint,399689007,4000,0.5373466984554965,0.5,2444.1377432993186,0.01008109479859493,0.0299951
rare-event,prior,399689007,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0031088
rare-event,root,399689007,4000,2.8057807275426827E-5,3.167124183311997E-5,875.2788451104185,3.7085217198232032E-6,0.0047491
rare-event,joint,399689007,4000,2.831393604899E-5,3.167124183311997E-5,445.41780377364734,1.7675645919785418E-6,0.0047762
hierarchical,prior,415174870,4000,0.9844336463241143,0.9803921568627451,361.17336726660676,0.0061280981319844045,0.0071697
hierarchical,root,415174870,4000,0.9818599786686915,0.9803921568627451,2030.04194334008,0.0035001422873586225,0.0089706
hierarchical,joint,415174870,4000,0.9781895412134977,0.9803921568627451,3160.19048974752,0.002013243568547232,0.027531600000000003
nonlinear,prior,415174870,4000,0.5262785834411519,0.5,375.085197036298,0.025792349496719984,0.0080549
nonlinear,root,415174870,4000,0.5088616937401911,0.5,1658.933930217855,0.012272756995025856,0.0103117
nonlinear,joint,415174870,4000,0.48430295128030443,0.5,2469.434649207328,0.010055498376018792,0.0288482
rare-event,prior,415174870,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.003963
rare-event,root,415174870,4000,3.1487285085753715E-5,3.167124183311997E-5,846.8406587466732,3.9941853995453654E-6,0.0052179
rare-event,joint,415174870,4000,3.47764305798436E-5,3.167124183311997E-5,413.75387698484724,2.177359398032992E-6,0.0050988000000000006
hierarchical,prior,430660733,4000,0.9765461110412335,0.9803921568627451,336.2729881265479,0.00657299050181575,0.0075122
hierarchical,root,430660733,4000,0.9799398411993224,0.9803921568627451,2036.8491173598939,0.003127102083612438,0.0089011
hierarchical,joint,430660733,4000,0.9810510796049278,0.9803921568627451,3164.8984026599173,0.0019955762616109345,0.0275757
nonlinear,prior,430660733,4000,0.4794024755210296,0.5,349.6581380308851,0.026692855609969732,0.0081356
nonlinear,root,430660733,4000,0.49428792318467707,0.5,1660.4434731203658,0.012269068907621061,0.0103595
nonlinear,joint,430660733,4000,0.5071426721864991,0.5,2425.537557873826,0.010150688805432613,0.029258700000000002
rare-event,prior,430660733,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0031232
rare-event,root,430660733,4000,3.2381649858571294E-5,3.167124183311997E-5,841.7333136718203,4.085150645803887E-6,0.004885700000000001
rare-event,joint,430660733,4000,3.459383564415046E-5,3.167124183311997E-5,430.85550856342894,2.141839586385803E-6,0.0050149
hierarchical,prior,446146596,4000,0.9788355864570188,0.9803921568627451,320.37408269208953,0.006496216812481253,0.008909100000000001
hierarchical,root,446146596,4000,0.9726310553992986,0.9803921568627451,2019.660454628987,0.0034547065179106632,0.0092265
hierarchical,joint,446146596,4000,0.9777574755414857,0.9803921568627451,3173.6899094602477,0.002014667858684453,0.0278558
nonlinear,prior,446146596,4000,0.44748898090184824,0.5,332.4905423608769,0.02722189414926981,0.0091071
nonlinear,root,446146596,4000,0.49952619862366,0.5,1634.6825167826469,0.012366688997034156,0.011185
nonlinear,joint,446146596,4000,0.4940091912047328,0.5,2494.1465436486415,0.010011314075283488,0.029415100000000003
rare-event,prior,446146596,4000,2.5E-4,3.167124183311997E-5,3999.9999999997935,2.4996874804662523E-4,0.0029956
rare-event,root,446146596,4000,3.563432736115295E-5,3.167124183311997E-5,826.0315814265086,4.413565853113881E-6,0.0048872
rare-event,joint,446146596,4000,3.238945463769817E-5,3.167124183311997E-5,434.9356587577327,2.0071801140226125E-6,0.0051749000000000005
hierarchical,prior,461632459,4000,0.9874524369981381,0.9803921568627451,340.8930449853862,0.006377023579267603,0.0077152
hierarchical,root,461632459,4000,0.9746974522781353,0.9803921568627451,2019.2036799950586,0.0034887758053284558,0.011164100000000001
hierarchical,joint,461632459,4000,0.9771178191399005,0.9803921568627451,3135.2718645303316,0.002032166151255419,0.029913400000000003
nonlinear,prior,461632459,4000,0.5164558615991628,0.5,346.4705781265254,0.02684637655114882,0.008815700000000001
nonlinear,root,461632459,4000,0.5156651673949932,0.5,1657.4865028407628,0.012269855473009279,0.010989200000000001
nonlinear,joint,461632459,4000,0.4881325531993042,0.5,2453.5785336484496,0.01009139145609953,0.0304711
rare-event,prior,461632459,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0032133
rare-event,root,461632459,4000,3.618000395718844E-5,3.167124183311997E-5,838.0916715230932,4.193067179891753E-6,0.0053628
