jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,concentrated,single,2000,255287948,Fitted,2.968344119488926,680.3345573935107,2.1046742720041385,2000,3000,12000,0.0050599,1.44E-4,0.009242700000000001,2.9702970297029703
1,concentrated,mixture,2000,255287948,Fitted,2.9694772755804055,769.7399331650413,1.8403041890353784,2000,3000,10000,0.005446,0.0316885,0.0428359,2.9702970297029703
1,concentrated,mh,2000,255287948,Completed,2.816220580052993,NaN,15.616859138629783,2000,1000,0,0.0,0.0,0.004698900000000001,2.9702970297029703
1,concentrated,legacy,8000,255287948,Completed,2.9762399261751495,NaN,NaN,8000,0,0,0.0,0.0,0.0098212,2.9702970297029703
1,concentrated,prior,8000,255287948,Completed,2.976239926175137,16.5458722488753,NaN,8000,0,48000,0.0,0.0,0.013177300000000001,2.9702970297029703
1,concentrated,single,8000,255287948,Fitted,2.968717847732906,2719.9537437339377,2.1046742720041385,8000,3000,40000,0.0053666,1.4350000000000002E-4,0.021568300000000002,2.9702970297029703
1,concentrated,mixture,8000,255287948,Fitted,2.9721925032496617,2968.669798098155,1.8403041890353784,8000,3000,48000,0.0051842,0.030880800000000003,0.0538328,2.9702970297029703
1,concentrated,mh,8000,255287948,Completed,2.9292161297575703,NaN,2.901071716356713,8000,1000,0,0.0,0.0,0.014483200000000002,2.9702970297029703
1,hierarchical,legacy,2000,255287948,Completed,0.9997819386179089,NaN,NaN,2000,0,0,0.0,0.0,0.0031077,0.9803921568627451
1,hierarchical,prior,2000,255287948,Completed,0.9997819386178948,171.24859609888998,NaN,2000,0,18000,0.0,0.0,0.0040881,0.9803921568627451
1,hierarchical,single,2000,255287948,Fitted,0.9851957097214388,1020.7365109871643,1.4085468557232144,2000,3000,20000,0.0055772,1.8360000000000002E-4,0.011574500000000001,0.9803921568627451
1,hierarchical,mixture,2000,255287948,Fitted,0.9881835560323254,1075.1926177032205,1.3172017376291443,2000,3000,18000,0.0049979,0.0242243,0.034834000000000004,0.9803921568627451
1,hierarchical,mh,2000,255287948,Completed,0.9518579648461685,NaN,1.2417021774452215,2000,1000,0,0.0,0.0,0.0050964,0.9803921568627451
1,hierarchical,legacy,8000,255287948,Completed,0.9891852983172672,NaN,NaN,8000,0,0,0.0,0.0,0.012916200000000001,0.9803921568627451
